Lab Status,Color,Abdomen,Location Probability
Positive ID,1,1,1
Positive ID,1,1,0.845714061
Positive ID,1,1,0.860751269
Positive ID,1,1,0.84459729
Negative ID,0,0,0.805771279
Negative ID,0,1,0.476120267
Negative ID,1,0,0.677220649
Negative ID,0,0,0.686441395
Negative ID,0,0,0.369624242
Negative ID,1,0,0.773996749
Negative ID,0,0,0.510826152
Negative ID,0,0,0.161469776
Negative ID,0,0,0.583206446
Negative ID,0,0,0.661712914
Negative ID,0,0,0.684543161
Negative ID,0,0,0.827965272
Negative ID,0,0,0.789998517
Negative ID,1,0,0.806721844
Negative ID,0,0,0.786265566
Negative ID,1,0,0.756553219
Negative ID,1,0,0.677402973
Negative ID,0,0,0.339298909
Negative ID,0,0,0.650668354
Negative ID,1,0,0.794497719
Negative ID,0,0,0.761040267
Negative ID,0,1,0.82589148
Negative ID,0,0,0.510826152
Negative ID,1,0,0.357157893
Negative ID,0,0,0.750087102
Negative ID,1,0,0.028051185
Negative ID,0,0,0.651072938
Negative ID,0,0,0.781500024
Negative ID,0,0,0.124151928
Negative ID,0,0,0.76674669
Negative ID,0,1,0.62098671
Negative ID,0,0,0.825748957
Negative ID,0,1,0.58226154
Negative ID,0,1,0.582563477
Negative ID,0,0,0.51852252
Negative ID,0,0,0.580623703
Negative ID,0,0,0.67774776
Negative ID,0,0,0.581684755
Negative ID,0,0,0.305878445
Negative ID,0,1,0.660389517
Negative ID,0,1,0.630996787
Negative ID,0,0,0.566359429
Negative ID,0,1,0.700136494
Negative ID,0,0,0.136849688
Negative ID,0,0,0.169568832
Negative ID,0,0,0.602808373
Negative ID,0,1,0.669529012
Negative ID,0,0,0.607086768
Negative ID,0,0,0.379397593
Negative ID,1,1,0.481989191
Negative ID,1,0,0.475620964
Negative ID,0,1,0.644547819
Negative ID,0,0,0.722761815
Negative ID,0,0,0.225532806
Negative ID,0,0,0.597027446
Negative ID,0,0,0.678935308
Negative ID,0,0,0.654047309
Negative ID,0,0,0.146689076
Negative ID,0,0,0.5878166
Negative ID,0,0,0.806465778
Negative ID,0,1,0.623756805
Negative ID,0,0,0.582506319
Negative ID,0,0,0.723886697
Negative ID,0,0,0.420970535
Negative ID,0,1,0.299798641
Negative ID,1,0,0.459735141
Negative ID,0,0,0.766448935
Negative ID,1,0,0.600487787
Positive ID,1,1,0.841337417
Negative ID,0,0,0.584368206
Negative ID,1,1,0.650499165
Negative ID,0,0,0.633892622
Negative ID,0,0,0.182468766
Negative ID,0,0,0.66904759
Negative ID,0,0,0.646142883
Negative ID,0,1,0.578172092
Negative ID,1,0,0.598074735
